Configuration        Accuracy
==============================
(0.0010, 0.0010)     0.456679
(0.0010, 0.0050)     0.623921
(0.0010, 0.0100)     0.644805
(0.0010, 0.0500)     0.646358
(0.0010, 0.1000)     0.640145
(0.0050, 0.0010)     0.604936
(0.0050, 0.0050)     0.654815
(0.0050, 0.0100)     0.672592
(0.0050, 0.0500)     0.691750
(0.0050, 0.1000)     0.687090
(0.0100, 0.0010)     0.618053
(0.0100, 0.0050)     0.658440
(0.0100, 0.0100)     0.679323
(0.0100, 0.0500)     0.693994
(0.0100, 0.1000)     0.692268
